Machine_ID,Variable,Best_Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
39,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",24602.039293812028,24646.602839828487,20455.65306329417,1993
39,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,734.5410707416436,745.7358633820692,0.08447297701028009,1993
39,Efficiency_Status,ARIMA,"(0, 0, 0)",,2476.725280748822,2487.9200733892476,0.20246829787335185,1993
39,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9795.068930183159,9811.78643913822,9.47752039642611,1993
39,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11234.790165982075,11273.790481524033,20.36998964325832,1993
36,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25618.080119733146,25640.55115803958,17761.79396623504,2085
36,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,726.2105409214889,737.4955891899548,0.08278626487254301,2085
36,Efficiency_Status,ARIMA,"(1, 0, 0)",,2543.4954995092453,2560.423071911944,0.19772957625136517,2085
36,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",10179.312955806556,10196.169182939568,8.879469716337198,2085
36,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11883.502218492738,11900.35844562575,21.206298839590914,2085
40,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24585.992366012633,24608.294704618864,17938.2382156412,2001
40,Predictive_Maintenance_Score,ARIMA,"(3, 0, 3)",,649.5593452919713,694.3705639686412,0.08036029478527949,2001
40,Efficiency_Status,ARIMA,"(2, 0, 2)",,2371.9734117406347,2405.581825748137,0.1904307603514632,2001
40,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",9741.523350655982,9791.69899595155,8.91648268784501,2001
40,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",11368.581332516034,11413.177800389654,20.36014922829422,2001
38,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25301.46318858725,25323.880773982437,17914.358318735613,2058
38,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,734.0327225122953,745.2917023450833,0.08348002870864056,2058
38,Efficiency_Status,ARIMA,"(1, 0, 1)",,2477.8419933625128,2500.359953028089,0.19441507381921605,2058
38,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 2)","(1, 1, 1, 24)",10002.760159157095,10030.782140901076,8.94186445009718,2058
38,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",11747.134721570339,11797.569803287037,21.45735218621447,2058
33,Production_Speed_units_per_hr,SARIMA,"(2, 1, 1)","(1, 1, 1, 24)",24027.16428261406,24060.477706339425,18142.471118373556,1956
33,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,672.8075228231817,706.2794639267503,0.08208067201344298,1956
33,Efficiency_Status,ARIMA,"(0, 0, 0)",,2331.033752972412,2342.1910666736017,0.19239840919889029,1956
33,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",9560.406521579322,9604.824419879807,9.317029007268715,1956
33,Error_Rate_%,SARIMA,"(1, 0, 1)","(1, 1, 1, 24)",11039.932889161108,11067.696699582179,20.575161275869643,1956
37,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24157.87199895217,24180.09771082993,18675.59996001694,1964
37,Predictive_Maintenance_Score,ARIMA,"(1, 0, 1)",,725.8787065204273,748.2096604760849,0.08438553177006469,1964
37,Efficiency_Status,ARIMA,"(2, 0, 2)",,2389.605581724755,2423.1020126582416,0.19646420076657398,1964
37,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9649.31243256772,9665.984851272564,9.364475046060335,1964
37,Error_Rate_%,ARIMA,"(3, 2, 2)",,1757.1747843461658,1790.6651021869177,18049425953076.92,1964
35,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",23570.101349653414,23592.218975484764,19049.87762495522,1913
35,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,631.4279003853915,664.766468202033,0.08093750857227523,1913
35,Efficiency_Status,ARIMA,"(0, 0, 0)",,2273.7943198507046,2284.907175789585,0.19178761217294918,1913
35,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9299.115156156386,9315.706596142123,8.964529438426373,1913
35,Error_Rate_%,SARIMA,"(0, 0, 1)","(1, 1, 1, 24)",10876.714472845611,10898.834246328019,21.278876092751087,1913
34,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24007.84986306444,24030.04197894418,19174.122585133748,1948
34,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,691.4927829214007,724.9401338266156,0.08298748022672252,1948
34,Efficiency_Status,ARIMA,"(0, 0, 0)",,2379.361339035727,2390.510456004132,0.19819727707234228,1948
34,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 1)","(1, 1, 1, 24)",9479.937299054694,9507.680078950543,8.82547269031145,1948
34,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11072.933173105052,11111.769375894597,21.689983658299543,1948
31,Production_Speed_units_per_hr,SARIMA,"(3, 1, 3)","(1, 1, 1, 24)",24052.457012398478,24102.308255900894,18743.63410722796,1933
31,Predictive_Maintenance_Score,ARIMA,"(0, 0, 1)",,727.7485578299627,744.4490432675877,0.08505178004585885,1933
31,Efficiency_Status,ARIMA,"(2, 0, 2)",,2366.694207533742,2400.095178408992,0.1979634593701433,1933
31,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",9418.931988313532,9457.71262055455,8.93619485647291,1933
31,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",10894.789989611894,10944.646019075604,20.070802713390677,1933
32,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25060.65147527958,25083.014883774336,18684.75200035052,2031
32,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,718.139702935156,729.3722700583168,0.08322085332102203,2031
32,Efficiency_Status,ARIMA,"(3, 0, 2)",,2344.582253532013,2383.896238463076,0.18444263232519428,2031
32,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",9879.249130578097,9929.56225308852,9.139284844645026,2031
32,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11521.88662488299,11538.66221002766,20.88423435640178,2031
