Machine_ID,Variable,Best_Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
8,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24309.52267336531,24331.754653199434,19406.727176808294,1967
8,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,729.6220910730357,740.7906207098138,0.08467124673758779,1967
8,Efficiency_Status,ARIMA,"(0, 0, 1)",,2164.8041465550896,2181.5569410102567,0.17545595308070225,1967
8,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9689.407928250224,9706.085043016554,9.809850663062544,1967
8,Error_Rate_%,ARIMA,"(3, 2, 2)",,12.0,45.499485145820174,76.53914213594828,1967
3,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",24548.905877907306,24587.93497046821,18516.654480961766,2001
3,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,806.2329940288165,817.435798697984,0.08742613374713452,2001
3,Efficiency_Status,ARIMA,"(1, 0, 2)",,2344.70986988359,2372.7168815565083,0.18803873841653954,2001
3,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",9713.299421840891,9752.328514401795,8.770006640193879,2001
3,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11326.696352881583,11343.426182182502,20.567781439834146,2001
2,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25108.23482854486,25130.618388215735,18079.034783133055,2041
2,Predictive_Maintenance_Score,ARIMA,"(3, 0, 3)",,706.5633213110807,751.5328826135594,0.08212368134833935,2041
2,Efficiency_Status,ARIMA,"(2, 0, 2)",,2422.8458407715134,2456.5730117483727,0.1907736253098622,2041
2,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",9983.890316329518,10023.061545753548,9.526200697409868,2041
2,Error_Rate_%,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",11631.30576518654,11676.064840284273,20.57890628905838,2041
7,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24193.574856030104,24215.802658318156,18727.651972155527,1965
7,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,652.9142873231012,664.080782371708,0.0814601945895136,1965
7,Efficiency_Status,ARIMA,"(3, 0, 3)",,2403.0377077633157,2447.7036879577427,0.19729375141805489,1965
7,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 1)","(1, 1, 1, 24)",9606.265680399698,9634.053044907772,9.604031082523928,1965
7,Error_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",11209.32490180078,11253.780506376883,23.133727288314724,1965
9,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",24470.5731459783,24509.5662487427,18343.600829344425,1991
9,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,742.5230532827967,753.7158378909251,0.08484354615108389,1991
9,Efficiency_Status,ARIMA,"(1, 0, 0)",,2267.794857401385,2284.5840343135774,0.1823429987905159,1991
9,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9705.422370360275,9722.136791306828,8.984384318950339,1991
9,Error_Rate_%,SARIMA,"(3, 0, 2)","(1, 1, 1, 24)",11351.084382344001,11395.64792836046,21.296095648038623,1991
4,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24659.664222025152,24681.972709748658,18325.210012695643,2004
4,Predictive_Maintenance_Score,ARIMA,"(1, 0, 2)",,714.4811551214576,742.4956574324814,0.08321153022849204,2004
4,Efficiency_Status,ARIMA,"(0, 0, 0)",,2360.7534304319515,2371.959231356361,0.18978709250678794,2004
4,Quality_Control_Defect_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",9801.773041440358,9851.962529343115,9.36685539736322,2004
4,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11332.290423180388,11349.024859597646,20.173143557502808,2004
6,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",23803.56219370412,23825.72467981875,18236.073850130575,1934
6,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,624.8540741080151,658.2581481640946,0.08038040317203715,1934
6,Efficiency_Status,ARIMA,"(3, 2, 2)",,43.22944833238151,76.62731442101628,164092310920.03564,1934
6,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9415.620008995873,9432.245058295519,9.122170267660444,1934
6,Error_Rate_%,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",10931.071510795753,10980.932323677062,20.517790628102187,1934
10,Production_Speed_units_per_hr,SARIMA,"(2, 1, 3)","(1, 1, 1, 24)",24925.28284645603,24969.965095085143,19316.668383408192,2022
10,Predictive_Maintenance_Score,ARIMA,"(2, 0, 2)",,669.7807539851925,703.451808382675,0.08106103158478145,2022
10,Efficiency_Status,ARIMA,"(0, 0, 0)",,2428.1045187197797,2439.3282035189404,0.19417172724709353,2022
10,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9789.848588062043,9806.61051958011,8.717244649545513,2022
10,Error_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",11448.152916754829,11487.256990904898,21.974038588355935,2022
1,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",23511.07091481177,23549.788029136318,21028.407673095688,1916
1,Predictive_Maintenance_Score,ARIMA,"(2, 0, 3)",,635.412945761609,674.3189104713246,0.08098077834246623,1916
1,Efficiency_Status,ARIMA,"(2, 0, 2)",,2362.1516852146888,2395.4996549658736,0.19964376424556154,1916
1,Quality_Control_Defect_Rate_%,SARIMA,"(1, 0, 1)","(1, 1, 1, 24)",9316.407931306825,9344.06569321386,9.045949138672094,1916
1,Error_Rate_%,SARIMA,"(1, 0, 1)","(1, 1, 1, 24)",10856.336154433506,10883.993916340542,21.287979869451352,1916
5,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 24)",25456.852835748876,25490.43118957326,19552.412479314684,2043
5,Predictive_Maintenance_Score,ARIMA,"(0, 0, 1)",,635.4465627352286,652.3130865196814,0.07967672248760913,2043
5,Efficiency_Status,ARIMA,"(0, 0, 0)",,2514.523836463206,2525.768185652841,0.20008054917759793,2043
5,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 3)","(1, 1, 1, 24)",9958.759719225356,10003.53085765787,9.278387090904236,2043
5,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11618.849541425008,11635.643235276573,20.54298147546409,2043
