Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
8,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,24837.535406620926,24848.702919222338,17912.62727844048,1967
8,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",24309.52267336531,24331.754653199434,19406.727176808294,1967
8,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",24580.38474324322,24602.666516251447,18730.144581461085,1967
8,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",24682.924306924764,24705.226645530995,18364.050330145525,1967
8,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,729.6220910730357,740.7906207098138,0.08467124673758779,1967
8,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",823.0499459264629,839.7270606927931,0.09451557515233174,1967
8,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",791.5185504181838,808.2329713647376,0.08954647395994446,1967
8,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",769.4108426090311,786.1406719099502,0.08771867765920494,1967
8,Efficiency_Status,ARIMA,"(0, 0, 1)",,2164.8041465550896,2181.5569410102567,0.17545595308070225,1967
8,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 24)",2194.340276141029,2216.5743431132114,0.21111792335229757,1967
8,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 12)",2192.6259087882645,2214.9097431209407,0.19466118734984067,1967
8,Efficiency_Status,SARIMA,"(0, 0, 1)","(1, 1, 1, 7)",2188.665029562151,2210.969418924644,0.18692946322985055,1967
8,Quality_Control_Defect_Rate_%,ARIMA,"(0, 0, 0)",,9833.768078897734,9844.936608534512,8.666483248944171,1967
8,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",9689.407928250224,9706.085043016554,9.809850663062544,1967
8,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",9774.923930004901,9791.638350951454,9.179879798943471,1967
8,Quality_Control_Defect_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",9789.569510412297,9806.299339713216,8.966921523433314,1967
8,Error_Rate_%,ARIMA,"(3, 2, 2)",,12.0,45.499485145820174,76.53914213594828,1967
8,Error_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 24)",11230.655598376195,11275.1112029523,23.539244452257478,1967
8,Error_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 12)",11338.293278523015,11382.84857286262,21.607308447313375,1967
8,Error_Rate_%,SARIMA,"(3, 2, 2)","(1, 1, 1, 7)",11313.882100212564,11358.478568086184,20.671767616914963,1967
3,Production_Speed_units_per_hr,ARIMA,"(2, 0, 2)",,25087.926193072817,25121.53460708032,16216.520558382153,2001
3,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",24548.905877907306,24587.93497046821,18516.654480961766,2001
3,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",24997.491889653982,25036.606610193936,17145.787284520957,2001
3,Production_Speed_units_per_hr,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",25102.748681903257,25141.89877391817,17623.503246643664,2001
3,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,806.2329940288165,817.435798697984,0.08742613374713452,2001
3,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",893.6038037620488,910.3336330629679,0.0952345612657052,2001
3,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",857.406898862306,874.1733884972294,0.09091023965758817,2001
3,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",836.4579465021243,853.2395800359396,0.08941418317619419,2001
3,Efficiency_Status,ARIMA,"(1, 0, 2)",,2344.70986988359,2372.7168815565083,0.18803873841653954,2001
3,Efficiency_Status,SARIMA,"(1, 0, 2)","(1, 1, 1, 24)",2361.785245734328,2395.2387536436745,0.20487682770379595,2001
3,Efficiency_Status,SARIMA,"(1, 0, 2)","(1, 1, 1, 12)",2371.5231089554213,2405.050012275382,0.20314682418473012,2001
3,Efficiency_Status,SARIMA,"(1, 0, 2)","(1, 1, 1, 7)",2363.3314735275208,2396.8886952545895,0.19630207054500762,2001
3,Quality_Control_Defect_Rate_%,ARIMA,"(2, 0, 2)",,9858.267402835378,9891.87581684288,8.026826169158308,2001
3,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",9713.299421840891,9752.328514401795,8.770006640193879,2001
3,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",9791.766305898953,9830.881026438907,8.597719404675562,2001
3,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",9812.548958827905,9851.699050842819,8.350356119474789,2001
3,Error_Rate_%,ARIMA,"(0, 0, 0)",,11524.20929234038,11535.412097009546,18.52922039340758,2001
3,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",11326.696352881583,11343.426182182502,20.567781439834146,2001
3,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",11437.390484496966,11454.156974131889,19.621629548120175,2001
3,Error_Rate_%,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",11479.28335535542,11496.064988889235,19.13367854448961,2001
2,Production_Speed_units_per_hr,ARIMA,"(0, 1, 1)",,25635.862897456424,25647.1043076301,16775.624445425703,2041
2,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 24)",25108.23482854486,25130.618388215735,18079.034783133055,2041
2,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 12)",25378.83854320643,25401.270055499546,17503.58136826274,2041
2,Production_Speed_units_per_hr,SARIMA,"(0, 1, 1)","(1, 1, 1, 7)",25481.170541968153,25503.621866089783,17164.94497186821,2041
2,Predictive_Maintenance_Score,ARIMA,"(3, 0, 3)",,706.5633213110807,751.5328826135594,0.08212368134833935,2041
2,Predictive_Maintenance_Score,SARIMA,"(3, 0, 3)","(1, 1, 1, 24)",806.6805688613836,857.0390543710694,0.08999641379695165,2041
2,Predictive_Maintenance_Score,SARIMA,"(3, 0, 3)","(1, 1, 1, 12)",775.847516041698,826.3139488724561,0.08720853214439561,2041
2,Predictive_Maintenance_Score,SARIMA,"(3, 0, 3)","(1, 1, 1, 7)",756.471114201207,806.9821457357167,0.08560652983590936,2041
2,Efficiency_Status,ARIMA,"(2, 0, 2)",,2422.8458407715134,2456.5730117483727,0.1907736253098622,2041
2,Efficiency_Status,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",2473.499935936576,2512.6711653606058,0.2203004324154106,2041
2,Efficiency_Status,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",2459.1307754336935,2498.385921946643,0.20461788248209775,2041
