Machine_ID,Variable,Model,ARIMA_Order,Seasonal_Order,AIC,BIC,MSE,n_obs
43,Production_Speed_units_per_hr,ARIMA,"(1, 1, 2)",,23980.36828361813,24002.577232768377,17141.579533025313,1906
43,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 24)",23444.114449189325,23477.26505366608,19733.10368636284,1906
43,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 12)",23713.285579686744,23746.513355645355,18067.458505201022,1906
43,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 7)",24226.713324498083,24259.972964578315,18048.50873156589,1906
43,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,642.557709630925,653.6632337993533,0.0818512228026446,1906
43,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",738.0529633098072,754.6331159938653,0.0911902147870073,1906
43,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",699.0200088188852,715.6386853067884,0.0879225417103756,1906
43,Predictive_Maintenance_Score,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",665.541579168354,682.1761623743294,0.0851633744660946,1906
43,Efficiency_Status,ARIMA,"(0, 0, 0)",,2297.216495162927,2308.3220193313555,0.1950068761954665,1906
43,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 24)",2334.349428871825,2350.929581555883,0.2239114513013369,1906
43,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 12)",2323.831359714369,2340.450036202272,0.2092968842715274,1906
43,Efficiency_Status,SARIMA,"(0, 0, 0)","(1, 1, 1, 7)",2309.907832216927,2326.542415422902,0.2042521255783817,1906
43,Quality_Control_Defect_Rate_%,ARIMA,"(2, 0, 2)",,9425.278162218065,9458.594734723349,8.173152132096948,1906
43,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 24)",9278.72410629362,9317.40358611891,9.159367269608229,1906
43,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 12)",9361.456202397809,9400.2256673937,8.642198375019774,1906
43,Quality_Control_Defect_Rate_%,SARIMA,"(2, 0, 2)","(1, 1, 1, 7)",9383.291137653634,9422.097757726144,8.401452489019894,1906
43,Error_Rate_%,ARIMA,"(0, 0, 2)",,10934.661096150605,10956.87214448746,18.081608072764418,1906
43,Error_Rate_%,SARIMA,"(0, 0, 2)","(1, 1, 1, 24)",10742.818918945732,10770.44711882094,19.839068609712044,1906
43,Error_Rate_%,SARIMA,"(0, 0, 2)","(1, 1, 1, 12)",10833.09454516901,10860.787020166075,19.15750618017608,1906
43,Error_Rate_%,SARIMA,"(0, 0, 2)","(1, 1, 1, 7)",10864.867151813103,10892.586166150611,18.547333641423347,1906
44,Production_Speed_units_per_hr,ARIMA,"(1, 1, 2)",,25832.83518136277,25855.34341103085,17006.76903649673,2054
44,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 24)",25656.54600199393,25690.157413753182,18609.894992129528,2054
44,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 12)",25563.85659071403,25597.53950282288,17796.7074418465,2054
44,Production_Speed_units_per_hr,SARIMA,"(1, 1, 2)","(1, 1, 1, 7)",25953.52164579948,25987.234100065503,19023.06437661852,2054
44,Predictive_Maintenance_Score,ARIMA,"(0, 0, 0)",,827.6994930762924,838.9545818572693,0.0874354109986108,2054
